🔓┃解锁,#genre#
民谣蓝调,http://playradiostream3.hndt.com/now/XWfN89gh/playlist.m3u8
舞迷心窍,http://playradiostream3.hndt.com/now/WBhgSD3A/playlist.m3u8
▶️┃新片,#genre#
封神 朝歌风云,https://lf6-douyin-ckVtos.pstatp.com/obj/tos-cn-i-siecs4i2o7/ogZjygANKAzoQUAOExAABJ3MNGfRsh2hoAzcNA
绝地追击,https://vip.ffzy-online6.com/20230923/18977_8858015e/2000k/hls/index.m3u8
消失的她,https://lf9-xigua-ckVtos.pstatp.com/obj/tos-cn-i-siecs4i2o7/o41osyAQdDJhAydQgAAAiPWtrTdQjfEzAhBBNG
明日战记 粤语,https://vip.lzcdn2.com/20221130/22820_09be4d48/index.m3u8
孤注一掷清晰版,https://.ijycnd.com/play/zbqmMMkb/index.m3u8


▶️┃央视,#genre#



CCTV1,http://111.13.111.242/000000001000PLTV/88888888/224/3221236219/1.m3u8?HlsProfileId=


CCTV2,http://111.13.111.242/000000001000PLTV/88888888/224/3221235743/1.m3u8?HlsProfileId=

CCTV3,http://www.namewee.xyz/gudou.php?id=364&id=1603

CCTV4,http://111.13.111.242/000000001000PLTV/88888888/224/3221236202/1.m3u8?HlsProfileId=

CCTV7,http://111.13.111.242/000000001000PLTV/88888888/224/3221235759/1.m3u8?HlsProfileId=


CCTV9,http://111.13.111.242/000000001000PLTV/88888888/224/3221235767/1.m3u8?HlsProfileId=

CCTV11,http://111.13.111.242/000000001000PLTV/88888888/224/3221236200/1.m3u8?HlsProfileId=
CCTV12,http://111.13.111.242/000000001000PLTV/88888888/224/3221235735/1.m3u8?HlsProfileId=
CCTV13,http://111.13.111.242/000000001000PLTV/88888888/224/3221236187/1.m3u8?HlsProfileId=
CCTV14,http://111.13.111.242/000000001000PLTV/88888888/224/3221235776/1.m3u8?HlsProfileId=
CCTV15,http://111.13.111.242/000000001000PLTV/88888888/224/3221236203/1.m3u8?HlsProfileId=
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://111.13.111.242/000000001000PLTV/88888888/224/3221236190/1.m3u8?HlsProfileId=

CCTV1,http://alivealone.litenews.cn/301/b597ff6aa9cb40aba57bb011b13865ad.flv
CCTV1,http://v.ran-ran.top/zb/migu.php?id=cctv1
CCTV1,http://v.ran-ran.top/zb/migu.php?id=cctv1b

CCTV2,http://v.ran-ran.top/zb/migu.php?id=cctv2
CCTV2,http://218.15.229.90:9901/tsfile/live/0002_1.m3u8

CCTV3,http://v.ran-ran.top/zb/migu.php?id=cctv3
CCTV3,http://218.15.229.90:9901/tsfile/live/0003_1.m3u8

CCTV4,http://v.ran-ran.top/zb/migu.php?id=cctv4a
CCTV4,http://218.15.229.90:9901/tsfile/live/0004_1.m3u8

CCTV5,http://v.ran-ran.top/zb/migu.php?id=cctv5
CCTV5,http://218.15.229.90:9901/tsfile/live/0005_1.m3u8

CCTV5+,http://v.ran-ran.top/zb/migu.php?id=cctv5p
CCTV5+,https://p.ggiptv.com/v/ysp.m3u8?token=VrdagFDc9Zjt1QOS7iG35BiW&id=cctv5p



CCTV6,http://v.ran-ran.top/zb/migu.php?id=cctv6
CCTV6,http://218.15.229.90:9901/tsfile/live/0006_1.m3u8

CCTV7,https://p.ggiptv.com/v/ysp.m3u8?token=AYGVKDFhgvRTEF%2FX%2F%2F1im7Qs&id=cctv7
CCTV7,https://p.ggiptv.com/v/ysp.m3u8?token=CYyTfmEz1fFTEF%2FX%2F%2F1imLkv&id=cctv7

CCTV8,http://v.ran-ran.top/zb/migu.php?id=cctv8

CCTV9,http://v.ran-ran.top/zb/migu.php?id=cctv9

CCTV10,http://v.ran-ran.top/zb/migu.php?id=cctv10

CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV11,https://p.ggiptv.com/v/ysp.m3u8?token=Ri7m%2FqyIJ1njhPZnlLsZr1P2&id=cctv11

CCTV12,http://v.ran-ran.top/zb/migu.php?id=cctv12

CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://v.ran-ran.top/zb/migu.php?id=cctv13

CCTV14,http://v.ran-ran.top/zb/migu.php?id=cctv14
CCTV14,https://p.ggiptv.com/v/ysp.m3u8?token=xq46u4J%2F9AZA94aeCtwE0kKB&id=cctv14

CCTV15,http://v.ran-ran.top/zb/migu.php?id=cctv15

CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000

CCTV17,http://v.ran-ran.top/zb/migu.php?id=cctv17

CCTV1,http://119.162.4.248:8123/udp/239.21.1.1:5002
CCTV2,http://119.162.4.248:8123/udp/239.21.1.2:5002
CCTV3,http://119.162.4.248:8123/udp/239.21.1.3:5002
CCTV4,http://119.162.4.248:8123/udp/239.21.1.4:5002
CCTV5,http://119.162.4.248:8123/udp/239.21.1.5:5002
CCTV6,http://119.162.4.248:8123/udp/239.21.1.6:5002
CCTV7,http://119.162.4.248:8123/udp/239.21.1.7:5002
CCTV8,http://119.162.4.248:8123/udp/239.21.1.8:5002
CCTV9,http://119.162.4.248:8123/udp/239.21.1.9:5002
CGTN,http://119.162.4.248:8123/udp/239.21.1.10:5002
CCTV10,http://119.162.4.248:8123/udp/239.21.1.11:5002
CCTV11,http://119.162.4.248:8123/udp/239.21.1.12:5002
CCTV12,http://119.162.4.248:8123/udp/239.21.1.13:5002
CCTV13,http://119.162.4.248:8123/udp/239.21.1.14:5002
CCTV13,http://119.162.4.248:8123/udp/239.21.2.1:5002
CCTV14,http://119.162.4.248:8123/udp/239.21.1.15:5002
CCTV15,http://119.162.4.248:8123/udp/239.21.1.16:5002






▶️┃卫视,#genre#
厦门卫视,https://xiamenalic.v.myalicdn.com/xiamen/xiamen_1/index.m3u8
东南卫视,http://live.aishang.ctlcdn.com/00000110240588_1/encoder/0/playlist.m3u8?CONTENTID=00000110240588_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
海峡卫视,http://r.jdshipin.com/WtYt3

东方卫视,http://v.ran-ran.top/zb/migu.php?id=dfws2
东方卫视,https://volc-stream.kksmg.com/live/dfws/index.m3u8?volcSecret=4a54563fdc3cf8d5dcd6146d96abd9b6&volcTime=1701436815
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/360p.m3u8
江苏卫视,http://v.ran-ran.top/zb/migu.php?id=jsws
湖南卫视,http://v.ran-ran.top/zb/migu.php?id=hunws
湖北卫视,http://v.ran-ran.top/zb/migu.php?id=hubws
安徽卫视,http://live.aishang.ctlcdn.com/00000110240256_1/playlist.m3u8?CONTENTID=00000110240256_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
北京卫视,http://live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8?CONTENTID=00000110240129_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
天津卫视,http://live.aishang.ctlcdn.com/00000110240136_1/playlist.m3u8?CONTENTID=00000110240136_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
广东卫视,http://v.ran-ran.top/zb/migu.php?id=gdws
广西卫视,http://live.aishang.ctlcdn.com/00000110240037_1/playlist.m3u8?CONTENTID=00000110240037_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
江西卫视,http://live.aishang.ctlcdn.com/00000110240398_1/playlist.m3u8?CONTENTID=00000110240398_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
深圳卫视,http://live.aishang.ctlcdn.com/00000110240132_1/playlist.m3u8?CONTENTID=00000110240132_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
辽宁卫视,http://v.ran-ran.top/zb/migu.php?id=lnws
重庆卫视,http://v.ran-ran.top/zb/migu.php?id=cqws
重庆卫视,https://sjlivecdn9.cbg.cn/202311301952/app_2/_definst_/ls_2.stream/chunklist.m3u8
贵州卫视,https://v.ran-ran.top/zb/cqyx.php?id=guizhouHD
山东卫视,http://v.ran-ran.top/zb/migu.php?id=sdws
海南卫视,http://v.ran-ran.top/zb/migu.php?id=hinws
吉林卫视,http://v.ran-ran.top/zb/migu.php?id=jlws
四川卫视,http://120.196.232.18:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226659/1.m3u8
山西卫视,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226704/1.m3u8
云南卫视,http://120.196.232.52:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226709/1.m3u8
陕西卫视,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226707/1.m3u8
河南卫视,http://120.196.232.29:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226668/1.m3u8
河南卫视,http://180.101.30.118/tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=b84a8c35223e9c91c37b6fd94f93cb82&wsTime=1701364535&wsSession=10db66fdd8e08d4ba30c88a9-170135136405709&wsIPSercert=cdcda464740bfabc4001fc31722b32bc&wsiphost=local&wsBindIP=1
河北卫视,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226684/1.m3u8
河北卫视,https://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
黑龙江卫视,http://120.196.232.24:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226716/1.m3u8
内蒙古卫视,http://v.ran-ran.top/zb/migu.php?id=nmws
内蒙古卫视,http://120.196.232.39:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226685/1.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
青海卫视,http://v.ran-ran.top/zb/migu.php?id=qhws
青海卫视,http://120.196.232.47:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226696/1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=0d2f91cb1701350757
宁夏卫视,http://v.ran-ran.top/zb/migu.php?id=nxws
宁夏卫视,http://120.196.232.45:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226691/1.m3u8
甘肃卫视,http://v.ran-ran.top/zb/migu.php?id=gsws
甘肃卫视,http://120.196.232.47:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226662/1.m3u8
新疆卫视,http://v.ran-ran.top/zb/migu.php?id=xjws
新疆卫视,http://120.196.232.37:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226700/1.m3u8
西藏卫视,http://v.ran-ran.top/zb/migu.php?id=xzws
西藏卫视,http://120.196.232.44:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226710/1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
兵团卫视,http://120.196.232.38:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226661/1.m3u8
大湾区卫视,http://v.ran-ran.top/zb/migu.php?id=dwqws
湖南卫视,http://171.214.202.74:4000/udp/239.93.0.88:5140
江苏卫视,http://171.214.202.74:4000/udp/239.93.0.89:5140
浙江卫视,http://171.214.202.74:4000/udp/239.93.0.124:5140
东方卫视,http://171.214.202.74:4000/udp/239.93.0.123:5140
北京卫视,http://171.214.202.74:4000/udp/239.93.0.180:5140
四川卫视,http://171.214.202.74:4000/udp/239.93.0.20:1235
深圳卫视,http://171.214.202.74:4000/udp/239.93.0.182:5140
广东卫视,http://171.214.202.74:4000/udp/239.93.0.181:5140
天津卫视,http://171.214.202.74:4000/udp/239.93.0.167:5140
山东卫视,http://171.214.202.74:4000/udp/239.93.0.168:5140
江西卫视,http://171.214.202.74:4000/udp/239.93.0.134:5140
东南卫视,http://171.214.202.74:4000/udp/239.93.0.42:5140
黑龙江卫视,http://171.214.202.74:4000/udp/239.93.0.183:5140
重庆卫视,http://171.214.202.74:4000/udp/239.93.1.107:5140
贵州卫视,http://171.214.202.74:4000/udp/239.93.0.131:5140
湖北卫视,http://171.214.202.74:4000/udp/239.93.0.250:5140
安徽卫视,http://171.214.202.74:4000/udp/239.93.1.106:5140
河北卫视,http://171.214.202.74:4000/udp/239.93.0.132:5140
辽宁卫视,http://171.214.202.74:4000/udp/239.93.1.108:5140
河南卫视,http://171.214.202.74:4000/udp/239.93.42.45:5140
广西卫视,http://171.214.202.74:4000/udp/239.93.42.46:5140
云南卫视,http://171.214.202.74:4000/udp/239.93.0.174:5140
吉林卫视,http://171.214.202.74:4000/udp/239.93.0.248:5140
陕西卫视,http://171.214.202.74:4000/udp/239.93.0.176:5140
山西卫视,http://171.214.202.74:4000/udp/239.93.0.6:5140
内蒙古卫视,http://171.214.202.74:4000/udp/239.93.0.8:5140
青海卫视,http://171.214.202.74:4000/udp/239.93.0.192:5140
宁夏卫视,http://171.214.202.74:4000/udp/239.93.0.247:5140
西藏卫视,http://171.214.202.74:4000/udp/239.93.0.175:5140
新疆卫视,http://171.214.202.74:4000/udp/239.93.0.194:5140
甘肃卫视,http://171.214.202.74:4000/udp/239.93.0.81:5140
康巴卫视,http://171.214.202.74:4000/udp/239.93.0.41:5140
海南卫视,http://171.214.202.74:4000/udp/239.93.0.80:5140
陕西农林,http://171.214.202.74:4000/udp/239.93.0.100:5140
兵团卫视,http://171.214.202.74:4000/udp/239.93.42.43:5140
峨眉电影,http://171.214.202.74:4000/udp/239.93.0.252:5140
厦门卫视,http://171.214.202.74:4000/udp/239.93.42.57:5140
湖南卫视,http://8.217.77.255:9999/ysp.php?id=hunws
北京卫视,http://218.241.192.50:8808/udp/239.3.1.241:8000
浙江卫视,http://218.241.192.50:8808/udp/239.3.1.137:8036
江苏卫视,http://218.241.192.50:8808/udp/239.3.1.135:8028
东方卫视,http://218.241.192.50:8808/udp/239.3.1.136:8032
山东卫视,http://218.241.192.50:8808/udp/239.3.1.209:8052
安徽卫视,http://218.241.192.50:8808/udp/239.3.1.211:8064
湖北卫视,http://218.241.192.50:8808/udp/239.3.1.138:8044
东南卫视,http://218.241.192.50:8808/udp/239.3.1.156:8148
广东卫视,http://218.241.192.50:8808/udp/239.3.1.142:8048
辽宁卫视,http://218.241.192.50:8808/udp/239.3.1.210:8056
龙江卫视,http://218.241.192.50:8808/udp/239.3.1.133:8016
深圳卫视,http://218.241.192.50:8808/udp/239.3.1.134:8020
贵州卫视,http://218.241.192.50:8808/udp/239.3.1.149:8076
天津卫视,http://218.241.192.50:8808/udp/239.3.1.141:1234
重庆卫视,http://218.241.192.50:8808/udp/239.3.1.122:8160
江西卫视,http://218.241.192.50:8808/udp/239.3.1.123:8164
吉林卫视,http://218.241.192.50:8808/udp/239.3.1.240:8172




浙江卫视,http://119.162.4.248:8123/udp/239.21.1.17:5002
湖南卫视,http://119.162.4.248:8123/udp/239.21.1.18:5002
江苏卫视,http://119.162.4.248:8123/udp/239.21.1.19:5002
北京卫视,http://119.162.4.248:8123/udp/239.21.1.20:5002
安徽卫视,http://119.162.4.248:8123/udp/239.21.1.21:5002
天津卫视,http://119.162.4.248:8123/udp/239.21.1.22:5002
东方卫视,http://119.162.4.248:8123/udp/239.21.1.23:5002
重庆卫视,http://119.162.4.248:8123/udp/239.21.1.24:5002
深圳卫视,http://119.162.4.248:8123/udp/239.21.1.25:5002
广东卫视,http://119.162.4.248:8123/udp/239.21.1.26:5002
辽宁卫视,http://119.162.4.248:8123/udp/239.21.1.27:5002
黑龙江卫视,http://119.162.4.248:8123/udp/239.21.1.28:5002
东南卫视,http://119.162.4.248:8123/udp/239.21.1.29:5002
陕西卫视,http://119.162.4.248:8123/udp/239.21.1.30:5002
海南卫视,http://119.162.4.248:8123/udp/239.21.1.31:5002
湖北卫视,http://119.162.4.248:8123/udp/239.21.1.32:5002
山西卫视,http://119.162.4.248:8123/udp/239.21.1.33:5002
四川卫视,http://119.162.4.248:8123/udp/239.21.1.34:5002
河北卫视,http://119.162.4.248:8123/udp/239.21.1.35:5002
江西卫视,http://119.162.4.248:8123/udp/239.21.1.36:5002
吉林卫视,http://119.162.4.248:8123/udp/239.21.1.37:5002
河南卫视,http://119.162.4.248:8123/udp/239.21.1.38:5002
广西卫视,http://119.162.4.248:8123/udp/239.21.1.39:5002
云南卫视,http://119.162.4.248:8123/udp/239.21.1.40:5002
内蒙古卫视,http://119.162.4.248:8123/udp/239.21.1.41:5002
贵州卫视,http://119.162.4.248:8123/udp/239.21.1.42:5002
青海卫视,http://119.162.4.248:8123/udp/239.21.1.43:5002
宁夏卫视,http://119.162.4.248:8123/udp/239.21.1.44:5002
新疆卫视,http://119.162.4.248:8123/udp/239.21.1.45:5002
西藏卫视,http://119.162.4.248:8123/udp/239.21.1.46:5002
甘肃卫视,http://119.162.4.248:8123/udp/239.21.1.47:5002
金鹰卡通,http://119.162.4.248:8123/udp/239.21.1.48:5002
BTV卡酷少儿,http://119.162.4.248:8123/udp/239.21.1.49:5002
优漫卡通,http://119.162.4.248:8123/udp/239.21.1.50:5002
哈哈炫动,http://119.162.4.248:8123/udp/239.21.1.51:5002

🔓┃湖南,#genre#
湖南教育,http://36.158.96.201:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://36.158.96.201:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://36.158.96.201:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
电视剧,http://36.158.96.201:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://36.158.96.201:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://36.158.96.201:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://36.158.96.201:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://36.158.96.201:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
爱晚,http://36.158.96.201:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://36.158.96.201:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
电影,http://36.158.96.201:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
47号[768*576],http://36.158.96.201:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
79号[768*576],http://36.158.96.201:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
81号[768*576],http://36.158.96.201:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
80号[768*576],http://36.158.96.201:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
82号[768*576],http://36.158.96.201:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育,http://36.158.96.201:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
86号[768*576],http://36.158.96.201:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
益阳公共,http://36.158.96.201:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
85号[768*576],http://36.158.96.201:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
93号[1920*1080],http://36.158.96.201:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://36.158.96.201:9901/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs


湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg




湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湖南教育,http://php.jdshipin.com:8880/iptv.php?id=hnjy
湖南电影,http://222.240.82.92:9901/tsfile/live/1004_1.m3u8

